"Story","Title","Result","Date","Stability","Duration (s)"
"Search tourist attractions","Search tourist attractions","SUCCESS","2021-07-16T17:58:53.1505801-05:00[America/Bogota]","0.0","12.47"
"Book accommodation on the Booking","Book Hotel with the best offer","SUCCESS","2021-07-16T17:59:09.3682031-05:00[America/Bogota]","0.0","2.43"
"Book accommodation on the Booking","Book hotel in maximum $ COP 20000","SUCCESS","2021-07-16T17:59:11.8076403-05:00[America/Bogota]","0.0","1.34"
"Book accommodation on the Booking","Book hotel with 2 rooms with kitchen","SUCCESS","2021-07-16T17:59:13.1598249-05:00[America/Bogota]","0.0","1.34"
"Search a car to rent","Rent a car and the age of the driver is between 30-65 years","SUCCESS","2021-07-16T17:59:14.721227-05:00[America/Bogota]","0.0","1.48"
"Search a car to rent","Rent a car and the age of the driver is random","SUCCESS","2021-07-16T17:59:16.2163552-05:00[America/Bogota]","0.0","1.52"
"Change language of page","Change languages","SUCCESS","2021-07-16T17:59:17.8813413-05:00[America/Bogota]","0.0","4.32"
"Login with my user","Successful login","SUCCESS","2021-07-16T17:59:22.3407687-05:00[America/Bogota]","0.0","1.4"
"Login with my user","Failed login","SUCCESS","2021-07-16T17:59:23.7435249-05:00[America/Bogota]","0.0","1.5"
"Find popular destinations","Visualize the most special places in Colombia","SUCCESS","2021-07-16T17:59:25.3359294-05:00[America/Bogota]","0.0","1.41"
"Find popular destinations","Visualize the most special places in Europa","SUCCESS","2021-07-16T17:59:26.7517178-05:00[America/Bogota]","0.0","1.42"
"View my notifications","View my notifications","SUCCESS","2021-07-16T17:59:28.3014909-05:00[America/Bogota]","0.0","2.39"
